"id","category","question_type","template_family","variant_id","question","option_a","option_b","option_c","option_d","option_e","correct_answer","correct_answer_text","explanation","source","review_status","image_url","target_time_seconds","timing_status","requires_paper","question_and_choices_word_count"
"R0451","Philosophy / critical thinking","personal_identity_criteria","personal_identity_criteria","6","In this fictional theory, bodily survival matters even when memories are lost. Which criterion is prioritized?","No identity criterion is specified","Continuity of the body","Social or legal recognition","Similarity of appearance alone","Continuity of memory or psychology","B","Continuity of the body","The body, rather than preserved memory, supplies continuity.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","38"
"R0234","Philosophy / critical thinking","fallacy_detection","fallacy_detection","9","The rumour is shared everywhere, which proves it happened. Best assessment?","The conclusion is simply assumed","The reasoning supports the conclusion","A limited claim is exaggerated","Popularity replaces evidence","The person is attacked instead of the argument","D","Popularity replaces evidence","Repeated sharing does not independently verify the event.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","37"
"R0033","LSAT-style","weaken","weaken","6","This route is always faster; I tried it on a holiday. Which weakens this?","Drivers use navigation.","The holiday was sunny.","The route reaches the office.","Normal weekdays have heavy traffic on that route.","The road has signs.","D","Normal weekdays have heavy traffic on that route.","The holiday observation may not generalize to ordinary traffic.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","38"
"R0279","Philosophy / critical thinking","meaning_and_ambiguity","meaning_and_ambiguity","10","Banks hold money. Rivers have banks. Therefore rivers hold money. Main issue?","A personal preference settles the definition","A factual contradiction is established","A key word changes meaning","The same meaning is used consistently","An ambiguous term needs clarification","C","A key word changes meaning","The word bank shifts between an institution and a river's edge.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","39"
"R0298","Philosophy / critical thinking","consistency","consistency","7","I once thought the painting was dull; now I find it moving. What is shown?","The claims contradict each other","There is too little information about the wording","Only a change over time is described","The claims can both be true","The speakers use different definitions","C","Only a change over time is described","The evaluation has changed over time.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","46"
"R0382","Philosophy / critical thinking","consent_reasoning","consent_reasoning","3","Define consent as informed agreement. A key risk is deliberately hidden from Pat. Main issue?","Consent is established under the stated definition","Consent is undermined by missing information","Consent to one thing does not establish consent to another","Silence alone does not establish consent","Consent is undermined by coercion","B","Consent is undermined by missing information","The information needed for the stipulated consent is withheld.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","49"
"R0287","Philosophy / critical thinking","philosophical_counterexample","philosophical_counterexample","7","Claim: A correct belief always comes from good reasoning. Best counterexample?","An unanswered question.","A valid inference from true premises.","A lucky guess that turns out true.","A carefully checked conclusion.","A false rumour.","C","A lucky guess that turns out true.","Truth can result from luck rather than justified reasoning.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","34"
"R0249","Philosophy / critical thinking","false_choices","false_choices","2","Under a rule allowing only yes or no votes, an accepted vote must be yes or no. Best assessment?","A word changes meaning","The alternatives are genuinely exhaustive as stated","The conclusion merely repeats its premise","The response attacks a person","A reasonable third possibility is excluded","B","The alternatives are genuinely exhaustive as stated","The stipulated voting rule excludes other accepted votes.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","47"
"R0325","Philosophy / critical thinking","testability","testability","1","Whenever this alarm is active, opening the door makes it ring. Is this claim testable in principle?","It states a definition","It expresses a preference","It is protected against every possible outcome","It asks a moral question","An observation could count against it","E","An observation could count against it","An active alarm that stays silent on opening would count against it.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","43"
"R0071","LSAT-style","counterexample","counterexample","8","Claim: Helping others always requires sacrifice. Counterexample?","An ignored request.","Costly help.","An expensive donation.","Help that benefits the helper without any cost.","An unsuccessful rescue.","D","Help that benefits the helper without any cost.","The claim is defeated by help with no sacrifice.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","26"
"R0242","Philosophy / critical thinking","relevance_of_objection","relevance_of_objection","6","A product endorsement is offered as independent testimony. Someone shows the endorser was secretly paid. Assess this.","Relevant concern about source reliability","Personal criticism with no stated relevance","Unrelated distraction","Relevant objection to the reasoning","Agreement rather than an objection","A","Relevant concern about source reliability","The payment bears on the claimed independence, although it does not prove the product bad.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","40"
"R0193","LSAT-style","plan_vulnerability","plan_vulnerability","4","A website bans abusive usernames but lets the same users instantly create new ones. Main weakness?","The plan does not reach the target group","The plan removes a needed resource","People can bypass the plan","The outcome measure can be misleading","The plan addresses the wrong cause","C","People can bypass the plan","The restriction can be avoided through a new account.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","47"
"R0412","Philosophy / critical thinking","rights_and_welfare","rights_and_welfare","11","The proposal is defended solely because it produces the most happiness overall. Which priority is used?","Only a factual question is raised","A value conflict remains unresolved","An individual right limits the choice","Total benefit is treated as decisive","A compromise protects both interests partly","D","Total benefit is treated as decisive","The argument makes aggregate happiness decisive.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","45"
"R0455","Philosophy / critical thinking","personal_identity_criteria","personal_identity_criteria","10","A novel says a traveller remains herself but never explains what preserves identity. Which criterion is given?","Similarity of appearance alone","No identity criterion is specified","Continuity of memory or psychology","Continuity of the body","Social or legal recognition","B","No identity criterion is specified","No particular account is stated.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","39"
