"id","category","question_type","template_family","variant_id","question","option_a","option_b","option_c","option_d","option_e","correct_answer","correct_answer_text","explanation","source","review_status","image_url"
"Q0404","IQ-style","number_matrix","IQ-number_matrix","16","In each row, the third number equals the first multiplied by the second. Row 1: 18, 21, 378. Row 2: 21, 19, 399. Row 3: 23, 19, ?. Find the missing entry.","435","436","440","437","438","D","437","Apply the stated row rule: 23 × 19 = 437.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0335","IQ-style","letter_coding","IQ-letter_coding","9","A code shifts every letter 5 places forward in the English alphabet, wrapping Z to A. How is WIND encoded?","EQVL","BNSI","DPUK","COTJ","AMRH","B","BNSI","Shift each letter by 5: W→B, I→N, N→S, D→I.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0046","LSAT-style","must_be_true","LR-must_be_true","5","At Elm Food Bank, every one of its deliveries that contains chilled food also uses a refrigerated vehicle. Every one that uses a refrigerated vehicle also has a temperature log. Which statement must be true?","Every one of its deliveries that contains chilled food also has a temperature log.","At least one of its deliveries contains chilled food.","None of its deliveries that has a temperature log also uses a refrigerated vehicle.","Every one of its deliveries that uses a refrigerated vehicle also contains chilled food.","Every one of its deliveries that has a temperature log also contains chilled food.","A","Every one of its deliveries that contains chilled food also has a temperature log.","The two conditional rules form A → B → C, so A → C. They do not imply their converses or establish that any A exists.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0423","IQ-style","increasing_differences","IQ-increasing_differences","18","Successive differences increase by 1: 22, 41, 61, 82, 104, ?. Find the next term.","125","130","127","126","128","C","127","The differences are 19, 20, 21, 22; the next is 23. Thus 104 + 23 = 127.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0283","IQ-style","increasing_differences","IQ-increasing_differences","4","Successive differences increase by 1: 8, 13, 19, 26, 34, ?. Find the next term.","43","44","42","46","41","A","43","The differences are 5, 6, 7, 8; the next is 9. Thus 34 + 9 = 43.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0247","LSAT-style","sufficient_assumption","LR-sufficient_assumption","25","At Yarrow Centre, every one of its programmes that accepts young children also has a safeguarding officer. A manager concludes that every one that accepts young children also has an approved supervision plan. Which additional premise, if assumed, guarantees the conclusion?","Every one of its programmes that has an approved supervision plan also accepts young children.","Some of its programmes that has a safeguarding officer also has an approved supervision plan.","Every one of its programmes that has a safeguarding officer also has an approved supervision plan.","Every one of its programmes that has an approved supervision plan also has a safeguarding officer.","Some of its programmes that has an approved supervision plan also accepts young children.","C","Every one of its programmes that has a safeguarding officer also has an approved supervision plan.","Adding B → C closes the chain from A to C. Reversed rules and statements about only some objects do not guarantee the conclusion for every A.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0158","LSAT-style","quantifier_inference","LR-quantifier_inference","16","At Pine Delivery, some of its vehicles carries heavy cargo. Every one of its vehicles that carries heavy cargo also has a reinforced suspension. Which conclusion follows logically?","None of its vehicles has a reinforced suspension.","Every one of its vehicles that has a reinforced suspension also carries heavy cargo.","Some of its vehicles that carries heavy cargo do not satisfy the condition 'has a reinforced suspension'.","Some of its vehicles that has a reinforced suspension also carries heavy cargo.","Every one of its vehicles carries heavy cargo.","D","Some of its vehicles that has a reinforced suspension also carries heavy cargo.","The objects asserted to be A must also be B, establishing at least one object that is both. Nothing establishes that all B are A.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0469","IQ-style","spatial_cubes","IQ-spatial_cubes","22","A solid cube has edge length 140 cm. All six outer faces are painted. It is cut into cubes of edge length 28 cm. How many small cubes have no painted face?","27","32","125","28","64","A","27","There are 5 small cubes per edge. Only the interior cubes are unpainted: (5 − 2)^3 = 27.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0115","LSAT-style","main_conclusion","LR-main_conclusion","12","The board of Larch Clinic should retain appointment reminders for another year. A pilot linked the change with an increase in the proportion of patients arriving on time, and the additional operating cost was small. Although the pilot is not conclusive, its results justify a longer trial. Which statement best expresses the main recommendation?","The board should retain appointment reminders for another year.","Every inexpensive pilot should become a permanent policy.","The pilot was not conclusive.","The additional operating cost was small.","The pilot linked the change with an increase in the proportion of patients arriving on time.","A","The board should retain appointment reminders for another year.","The recommendation to continue for a year is the main claim supported by the pilot results and low cost. The remaining relevant statements are reasons or qualifications.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0087","LSAT-style","sufficient_assumption","LR-sufficient_assumption","9","At Iris Garden, every one of its plots that contains protected plants also has restricted access. A manager concludes that every one that contains protected plants also has a posted notice. Which additional premise, if assumed, guarantees the conclusion?","Some of its plots that has a posted notice also contains protected plants.","Every one of its plots that has restricted access also has a posted notice.","Every one of its plots that has a posted notice also has restricted access.","Every one of its plots that has a posted notice also contains protected plants.","Some of its plots that has restricted access also has a posted notice.","B","Every one of its plots that has restricted access also has a posted notice.","Adding B → C closes the chain from A to C. Reversed rules and statements about only some objects do not guarantee the conclusion for every A.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0354","IQ-style","number_matrix","IQ-number_matrix","11","In each row, the third number equals the first multiplied by the second. Row 1: 13, 16, 208. Row 2: 16, 14, 224. Row 3: 18, 14, ?. Find the missing entry.","255","250","253","251","252","E","252","Apply the stated row rule: 18 × 14 = 252.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0406","IQ-style","mental_rotation","IQ-mental_rotation","16","A robot faces north. It turns clockwise by 180 degrees, then moves straight ahead 18 metres without turning again. Which direction is it facing?","south","north","east","west","Its direction cannot be determined.","A","south","A 180-degree clockwise turn moves 2 quarter-turns around north, east, south, west. Forward travel does not change orientation.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0385","IQ-style","letter_coding","IQ-letter_coding","14","A code shifts every letter 5 places forward in the English alphabet, wrapping Z to A. How is SAND encoded?","XFSI","WERH","YGTJ","ZHUK","AIVL","A","XFSI","Shift each letter by 5: S→X, A→F, N→S, D→I.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0236","LSAT-style","must_be_true","LR-must_be_true","24","At Xenia Press, every one of its manuscripts that includes translated quotations also has a translation review. Every one that has a translation review also has an assigned editor. Which statement must be true?","None of its manuscripts that has an assigned editor also has a translation review.","Every one of its manuscripts that includes translated quotations also has an assigned editor.","Every one of its manuscripts that has a translation review also includes translated quotations.","At least one of its manuscripts includes translated quotations.","Every one of its manuscripts that has an assigned editor also includes translated quotations.","B","Every one of its manuscripts that includes translated quotations also has an assigned editor.","The two conditional rules form A → B → C, so A → C. They do not imply their converses or establish that any A exists.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0185","LSAT-style","main_conclusion","LR-main_conclusion","19","The board of Spruce Gym should retain fitness consultations for another year. A pilot linked the change with an increase in membership renewals, and the additional operating cost was small. Although the pilot is not conclusive, its results justify a longer trial. Which statement best expresses the main recommendation?","Every inexpensive pilot should become a permanent policy.","The pilot linked the change with an increase in membership renewals.","The pilot was not conclusive.","The additional operating cost was small.","The board should retain fitness consultations for another year.","E","The board should retain fitness consultations for another year.","The recommendation to continue for a year is the main claim supported by the pilot results and low cost. The remaining relevant statements are reasons or qualifications.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0343","IQ-style","increasing_differences","IQ-increasing_differences","10","Successive differences increase by 1: 14, 25, 37, 50, 64, ?. Find the next term.","79","80","78","82","77","A","79","The differences are 11, 12, 13, 14; the next is 15. Thus 64 + 15 = 79.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0408","IQ-style","symbol_operation","IQ-symbol_operation","16","Define the operation a ◆ b as (a × b) + 18. What is 19 ◆ 17?","340","341","342","339","344","B","341","Substitute into the definition: (19 × 17) + 18 = 341.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0143","LSAT-style","evaluate","LR-evaluate","15","After Oak Shelter introduced volunteer training, the number of animals adopted monthly increased. The director concludes that the change caused the increase. The answer to which question would be most useful in evaluating the argument?","Was the director the first person to suggest the change?","Does the organization have a short name?","Did comparable organizations that did not introduce volunteer training experience a similar increase during the same period?","Do staff prefer morning meetings to afternoon meetings?","Was the announcement printed in color?","C","Did comparable organizations that did not introduce volunteer training experience a similar increase during the same period?","An increase in the comparison group would suggest a common outside cause; no such increase would make the causal explanation more credible.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0368","IQ-style","symbol_operation","IQ-symbol_operation","12","Define the operation a ◆ b as (a × b) + 14. What is 15 ◆ 13?","212","208","207","210","209","E","209","Substitute into the definition: (15 × 13) + 14 = 209.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0189","LSAT-style","necessary_assumption","LR-necessary_assumption","19","Spruce Gym plans to fund fitness consultations entirely by reducing printing costs. The finance officer argues: ""The printing savings will cover the full cost, so we will not need any other funding for the change."" Which assumption is required?","Every other possible change would cost more.","The printing savings available for the change will be at least as large as its full cost.","No staff member will object to the change.","The organization will never print anything again.","The new practice will improve every measured outcome.","B","The printing savings available for the change will be at least as large as its full cost.","If available printing savings are smaller than the full cost, the stated funding conclusion fails. The stronger claims in the other options are unnecessary.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0326","IQ-style","mental_rotation","IQ-mental_rotation","8","A robot faces north. It turns clockwise by 270 degrees, then moves straight ahead 10 metres without turning again. Which direction is it facing?","east","Its direction cannot be determined.","south","north","west","E","west","A 270-degree clockwise turn moves 3 quarter-turns around north, east, south, west. Forward travel does not change orientation.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0317","IQ-style","ordering","IQ-ordering","7","Five people each receive a different rank in contest 7. Cy finishes ahead of Dee, Dee ahead of Eli, Eli ahead of Ari, and Ari ahead of Bo. Who finishes third?","Cy","Bo","Dee","Ari","Eli","E","Eli","The complete order from first to fifth is Cy, Dee, Eli, Ari, Bo.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0378","IQ-style","symbol_operation","IQ-symbol_operation","13","Define the operation a ◆ b as (a × b) + 15. What is 16 ◆ 14?","240","239","237","238","242","B","239","Substitute into the definition: (16 × 14) + 15 = 239.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0472","IQ-style","multiplication_sequence","IQ-multiplication_sequence","23","Each term is obtained by multiplying the preceding term by the same positive integer: 24, 96, 384, 1536, ?. What comes next?","6142","6145","6144","6143","6147","C","6144","The multiplier is 4, so 1536 × 4 = 6144.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0004","LSAT-style","causal_flaw","LR-causal_flaw","1","After Alder Library introduced extended evening hours, weekly book loans increased. The director concludes that the change caused the increase. The reasoning is vulnerable primarily because it:","Treats an improvement following a change as enough to establish that the change produced the improvement.","Rejects the conclusion solely because of the director's character.","Shows that the outcome decreased and then claims it increased.","Assumes that what is true of every organization must be false of this organization.","Infers that an event is impossible because it is rare.","A","Treats an improvement following a change as enough to establish that the change produced the improvement.","The evidence gives temporal order, but does not rule out other causes.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0431","IQ-style","number_sequence","IQ-number_sequence","19","The sequence follows a constant-addition rule: 21, 28, 35, 42, 49, ?. What is the missing number?","57","59","54","56","55","D","56","Add 7 each time; 49 + 7 = 56.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0442","IQ-style","multiplication_sequence","IQ-multiplication_sequence","20","Each term is obtained by multiplying the preceding term by the same positive integer: 21, 84, 336, 1344, ?. What comes next?","5375","5376","5379","5374","5377","B","5376","The multiplier is 4, so 1344 × 4 = 5376.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0079","LSAT-style","necessary_assumption","LR-necessary_assumption","8","Harbor Pool plans to fund online booking entirely by reducing printing costs. The finance officer argues: ""The printing savings will cover the full cost, so we will not need any other funding for the change."" Which assumption is required?","The printing savings available for the change will be at least as large as its full cost.","The new practice will improve every measured outcome.","Every other possible change would cost more.","No staff member will object to the change.","The organization will never print anything again.","A","The printing savings available for the change will be at least as large as its full cost.","If available printing savings are smaller than the full cost, the stated funding conclusion fails. The stronger claims in the other options are unnecessary.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0186","LSAT-style","must_be_true","LR-must_be_true","19","At Spruce Gym, every one of its classes that includes advanced exercises also has a qualified instructor. Every one that has a qualified instructor also has an approved lesson plan. Which statement must be true?","At least one of its classes includes advanced exercises.","Every one of its classes that includes advanced exercises also has an approved lesson plan.","Every one of its classes that has an approved lesson plan also includes advanced exercises.","None of its classes that has an approved lesson plan also has a qualified instructor.","Every one of its classes that has a qualified instructor also includes advanced exercises.","B","Every one of its classes that includes advanced exercises also has an approved lesson plan.","The two conditional rules form A → B → C, so A → C. They do not imply their converses or establish that any A exists.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0483","IQ-style","increasing_differences","IQ-increasing_differences","24","Successive differences increase by 1: 28, 53, 79, 106, 134, ?. Find the next term.","162","161","166","164","163","E","163","The differences are 25, 26, 27, 28; the next is 29. Thus 134 + 29 = 163.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0177","LSAT-style","sufficient_assumption","LR-sufficient_assumption","18","At Reed Orchestra, every one of its instruments that is loaned to a student also has an assigned borrower. A manager concludes that every one that is loaned to a student also has a loan record. Which additional premise, if assumed, guarantees the conclusion?","Some of its instruments that has a loan record also is loaned to a student.","Some of its instruments that has an assigned borrower also has a loan record.","Every one of its instruments that has a loan record also has an assigned borrower.","Every one of its instruments that has an assigned borrower also has a loan record.","Every one of its instruments that has a loan record also is loaned to a student.","D","Every one of its instruments that has an assigned borrower also has a loan record.","Adding B → C closes the chain from A to C. Reversed rules and statements about only some objects do not guarantee the conclusion for every A.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0370","IQ-style","set_reasoning","IQ-set_reasoning","12","A group has 34 members. 15 solve a word puzzle, 16 solve a number puzzle, and 3 solve both. How many solve at least one of the two puzzles?","34","31","26","27","28","E","28","Count each solver once: 15 + 16 − 3 = 28. Subtract the overlap because it was counted twice.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0059","LSAT-style","necessary_assumption","LR-necessary_assumption","6","Fern Theatre plans to fund discount subscriptions entirely by reducing printing costs. The finance officer argues: ""The printing savings will cover the full cost, so we will not need any other funding for the change."" Which assumption is required?","No staff member will object to the change.","The new practice will improve every measured outcome.","The printing savings available for the change will be at least as large as its full cost.","Every other possible change would cost more.","The organization will never print anything again.","C","The printing savings available for the change will be at least as large as its full cost.","If available printing savings are smaller than the full cost, the stated funding conclusion fails. The stronger claims in the other options are unnecessary.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0303","IQ-style","increasing_differences","IQ-increasing_differences","6","Successive differences increase by 1: 10, 17, 25, 34, 44, ?. Find the next term.","58","55","53","56","54","B","55","The differences are 7, 8, 9, 10; the next is 11. Thus 44 + 11 = 55.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0478","IQ-style","symbol_operation","IQ-symbol_operation","23","Define the operation a ◆ b as (a × b) + 25. What is 26 ◆ 24?","652","648","647","650","649","E","649","Substitute into the definition: (26 × 24) + 25 = 649.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0455","IQ-style","letter_coding","IQ-letter_coding","21","A code shifts every letter 2 places forward in the English alphabet, wrapping Z to A. How is BOOK encoded?","FSSO","GTTP","ERRN","CPPL","DQQM","E","DQQM","Shift each letter by 2: B→D, O→Q, O→Q, K→M.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
